,label,comment
68,1.0,lol  phuket  thailand xd
69,0.0,subtitles  im  nd generation deaf  i d appreciate if you d add captions or subtitles to this video  whats even more  it is not auto translated or auto generated 
70,0.0,i have an obsession with hearing your next studio album  new album when 
71,1.0,once again  ok go prove why they re the absolute best at music videos 
72,1.0,i ve watched this   times
73,-1.0,works better when the song is good
74,-1.0,rip off of nite runner by duran duran lol
75,1.0,this is amazing  how do y all come up with these ideas  and make them into these awesome music videos  y all are exceptional 
76,1.0,thank you for the heads up  i am one of the  flashing light affected  it s crazy how the brain can short circuit   amazing talent   impressive   
77,0.0,lol
78,-1.0,this is not a music video  it s a printer commercial 
79,-1.0,they must have spend a lot of woods and trees   
80,0.0,dunder mifflin  limitless paper  in a paperless world
81,1.0,this is like new order and pet shop boys had a baby  i love it  
82,0.0,how many trees were there 
83,1.0,fuck that was crazy 
84,0.0,i think this was directed by michael scott 
85,0.0,thank you for the pre warning  i get migraines easy so i was careful  
86,1.0,awesome  like   always  d ok go always have the best ideas for making a music viceo super creativ  it s always entertaining and fun to watch this  i don t want to know how much time they spend on filming things likes that but   keep going     awesome work    
87,1.0,i envy and pray for the editor s  of this video 
88,-1.0,so concerned over the amount of ink they used  you can recycle the paper  but not the ink  a little disappointed in this  fellas 
89,0.0,okay  but now i really want to go and purchase coloured paper 
90,1.0,wow   i first imagined they had  stacked  the paper feeders with colored paper  but soon realized that would be less likely than actually burning all that ink  just  wow  
91,0.0,those papers has same amount of homework
92,0.0,we love trees 
93,-1.0,the video editing kinda ruins the  live  feel that your old videos had 
94,-1.0,let s love trees 
95,-1.0,who mixed this 
96,-1.0,bitch  what the fuck   
97,0.0,does anyone know what model printer this is 
98,0.0,i liked the part where the paper printed out
99,1.0,is there even a limit to their creativity   and possibly their budget   
100,1.0,i love you all 
101,1.0,in an era when mtv no longer stands for music television  ok go keeps the spirit of the music video art form alive and consistently innovated  your videos remind me of old peter gabriel videos like  sledge hammer  and  steam  when he was constantly raising the bar 
102,0.0,fuck sustainability xd
103,1.0,i can t even imagine how much time they spent doing this  amazing 
104,-1.0,http   cashthetasks com  refer     
105,1.0,genius      as usual 
106,0.0,behind the scenes  https   www youtube com watch time continue     v df ql rmdqa
107,1.0,wow
108,1.0,this song suck all the ass  but this video is genius  
109,0.0,               
110,1.0,amazing work  it s a wonder they haven t received a video vanguard award by now  smh
111,1.0,this is the best band in    years  their videos are the best videos since mtv died   and here s to the korg monologue making a dual appearance          i love ok go 
112,1.0,thanks youtube recommended
113,-1.0,the music is some kind of shitty
114,0.0,charles bouche you should already bree subscribed to okgo instead odd the tending
115,1.0,wow  just wow   
116,1.0,se pasaron  amazing       cla clap clap 
117,1.0,how can you dislike this  again  absolutely genius 
118,1.0,you guys are awesome 
119,1.0,     
120,1.0,this is amazing  you guys never fail to blow my mind 
121,0.0,what the fuck    
122,1.0,this just made my day  been waiting for a new ok go music video for so long    
123,1.0,    
124,-1.0,                                                             
125,1.0,   
126,0.0,tiene un parecido a un tema de la banda inecex l
127,0.0,like si hablas espa ol like si hablas espa ol
128,0.0,https   timebucks com  refid           https   www youtube com watch v vacvqbug s 
129,1.0,damn   another masterpiece   
130,0.0,do you know the feeling  when you hear a song to many times  and you start to hate it  how are you suppose to avoid this  when the music videos are so perfect  and you want to watch it over and over again 
131,1.0,you guys be cant be so brillant everytime    brilliant video guys   after sol long    fully worth the wait    brilliant   
132,1.0,i m not a huge fan of pop or pop alternative or whatever  but i ve grown to love several of this band s songs because of their brilliant videos 
133,0.0,https   timebucks com  refid           https   www youtube com watch v vacvqbug s 
134,0.0,its looks cg  not the actual printing for some part 
135,1.0,amazing as always 
136,1.0,hey mr ok go  for your next video i want computer synced drones with led programmable pixel grids on their sides forming dancing shapes to the music within a snow covered landscape in the dark with them as the only light source  and a pink unicorn    i m sure you ll get right on it  cheers    
137,0.0,https   www youtube com watch v ymfmnbsyeo 
138,0.0,          
139,1.0,based on the comments i see here and on some of their other videos i feel like i m the only who likes their music   not as much as the videos obviously  but i think the music they make complements and completes the awesome videos  it s like watching a movie  i might not listen to a song off the soundtrack otherwise  but you get more feeling out of a scene when the song playing just feels right for it  that being said i still would listen to their songs by themselves 
140,0.0,https   timebucks com  refid           https   www youtube com watch v vacvqbug s 
141,1.0,okay  first off    yes  they did  in fact  recycle  secondly  laser printers  not ink  thirdly  actually printed  no chromakey or green screen  don t believe me  https   youtu be bfh ilfcirq   especially the scenes when they re doing print tests  i only wish i knew what kind of printers they use  because i want one 
142,-1.0,i love ok go and their videos  but this one is kind of disappointing  all the stop motion in between makes the video look artificial  so probably you wouldn t see any difference if they would have done the paper stuff with cgi  i really loved all the other videos before  especially  upside down   inside out  and also the music itself  but this time it doesn t blow me away like the others  it s not even impressing me at all     i mean a good try but sadly not the level like the last years 
143,0.0,keniatan yang hqq
144,1.0,ok go is the definition of art 
145,0.0,why do you consider this normal  is it clear that it is a mental desease  just kidding 
146,0.0,what printers were they using 
147,0.0,that paper is graphic art or i am drunk
148,0.0,where the printers themselves recycled  that s a lot of plastic waste 
149,-1.0,so they make creative videos just to overcompensate for their lack of good music 
150,0.0,r i p  youtube compression
151,1.0,we don t deserve your creativity  
152,0.0,ammmmmmmmmmmmmmm  this is white stripse    
153,-1.0,ok    and what about the cost in energy to print all that  and recycle it  and the fact that most recycled paper goes to secondary uses like toilet paper and tissues  ok  so you made something that is extremely wasteful something slightly less wasteful    what a joke 
154,-1.0,oh no  watch out lorax is coming
155,-1.0,thanks for the epilepsy warning asshole
156,0.0,anyone can identify the printer model  it looks like a printer that won t fail on me 
157,1.0,always love your music videos  so visually expressive and interactive  and you never know what is going to happen  so you feel so hooked just watching every little bit 
158,-1.0,i am more curious about what brand of printer those are than what brand the paper is  like those must be the best printers ever 
159,0.0,director  dwight schrute
160,-1.0,ok go have always been a band that does amazing video but mediocre music  it s a shame really 
161,0.0,dundler mifflin might want to collab with ok go
162,-1.0,they sound like the wiggles of     
163,0.0,what a waste  children in africa could have eaten those ink cartridges 
164,0.0,               
165,1.0,amazing  
166,0.0,its end love   but with printers 
167,1.0,you guys are really the most innovative and hats off for your effort and for this wonderful video      amazing bros    keep entertaining us    again i saying the most innovative ever i seen for a songs all of urs are really really amazing
168,0.0,can you guys collaborate with daft punk 
169,1.0,mrabell   yes yes  yes  y e s  y e s 
170,1.0,my computing teacher showed me this ever since i ve been addicted to this
171,0.0,quien  vino por javier  alatorre
172,0.0,bake choose angle useful vegetable society imply clean cattle zone 
173,1.0,king of mv    
174,0.0,aldo prasetyo
175,0.0,follow from palit
176,0.0,did anyone else notice that the lyrics in this song is about suicide  there is a lot of evidence   
177,0.0,is it wrong that the only thing i want to know is what brand product were the printers     looksatcrappyprinterjustdie  
178,1.0,brilliant ideas of this concept music video   d
179,1.0,how do these guys always come up with the most amazing concepts for videos     i remember when we all thought the treadmills were cool but where could they go from there  boy we re we wrong
180,1.0,this band always wins the internet  so cool 
181,1.0,the legends are back  love this song
182,-1.0,bad song    ok video     find your damn guitars again and make some rock  
183,0.0,lmao they broke youtubes quallity control
184,1.0,okgo has done it once again          
185,1.0,what a amazing    
186,1.0,omg       you re amazing guys   keep making videos like this  so far i loved all of them 
187,1.0, why do you guys always make avant garde  expensive  bold videos    it s obsession  
188,0.0,lol
189,1.0,without a doubt the second most interesting commercial i ve ever seen 
190,1.0,you guys give me chills every time  oh my god
191,0.0,nice vid  not too keen on the song though
192,1.0,you made a good impression 
193,1.0,you made a good impression 
194,1.0,thank you so much   
195,0.0,you guys could make a container of sour cream entertaining  i swear
196,0.0,lo volvieron a  hacer volvieron a deleitar mi vista y mis oidos con una obra maestra estoy anodado  me encantgo este video como muchisimos otros mas
197,0.0,this reminds me of gorillaz for some reason  not saying that s a bad thing 
198,0.0,a lot of paper for this stupid song  sucks 
199,0.0,anyone else notice damian slip on some paper at      
200,0.0,not a single paper jam in video  obviously fake 
201,0.0,dunder mifflin will not be able to compete against that   
202,1.0,where do you even get these ideas   
203,0.0,     careful there mate    
204,-1.0,proof that bands no longer care about the song  just the video 
205,0.0,pc load letter
206,0.0,can t help but get this feel from gumby   
207,1.0,holy cow  these guys did it again 
208,1.0,every year their videos get more and more creative  this is mind blowing  been a fan since i was    now i m    and still enjoying your music and your videos 
209,0.0,pc load letter  what the fuck does that mean 
210,-1.0,the mother earth is crying
211,1.0,the  gods of  of video art   
212,1.0,wow   as usual  ok go doesn t disappoint  great song and spectacular video  thanks so much for blowing my mind again    i don t think there is much left  so give me some time to recover       
213,1.0,i love this song and video
214,-1.0,it s cool and all  but i wonder if they re starting to run out of video ideas 
215,1.0,awesome
216,1.0,dope    
217,-1.0,wtf
218,-1.0,why do they bother with the music  just skip to the gimmicky video
219,1.0,they ve done it againnnnn 
220,0.0,what is the meaning of life
221,1.0,another amazing video by okgo yasss gj                    
222,0.0,love em but this has to be the most stupid video they have done  a screen set  and some projection mapping would have achieved the same effects especially because they ran a static capture feel  refresh issues would have been none existent 
223,1.0,an  ok go  music video never fails to disappoint  i know their sound isn t for everyone  but i personally enjoy it 
224,0.0,okay  so i know what kind of paper to buy  but what kind of printer is that 
225,1.0,there are a lot of comments so i don t think the band will see this one  but if anyone on the creative team does i just want to suggest the concept of using     view with a music video  it is a new technology that has not really been used to its full  and i think it would be one of the most groundbreaking things this already legendary band could do  like if you agree 
226,0.0,must be the herron
227,0.0,what printers were used  
228,0.0,didn t like the music but liked the video
229,1.0,its the best of the ok go  both video and song  it s obsession  thx guys  you are incredible 
230,0.0,a look so quick  a movement so slight you could almost imagine it didn t just happen but everything will change  in just one look  one little glance it s not passing fascination now  it s obsession  uh huh  it s obsession it s obsession uh huh  it s obsession it s obsession  and it s physical it s like standing at the edge  your blood starts to pump   cause you re worried you might jump  and your head throbbing like a heart and your heart throbbing like a drum and the drums throbbing like the point is just go ahead and jump it s obsession  uh huh  it s obsession it s obsession uh huh  it s obsession it s obsession  there s only one way out  x    a look so quick  a movement so slight oh it s not passing fascination now  it s obsession  it s obsession uh huh  it s obsession it s obsession uh huh  it s obsession it s obsession
231,1.0,los amo 
232,0.0,what a waste  the kids in africa could ve eaten that paper
233,0.0,this is a good video and i know this was done only one time because there is one printer that miss the sync and wasn t edited 
234,1.0,oh my flipping gosh
235,0.0,how many paper cuts 
236,1.0,please share a behind the scene 
237,1.0,i don t like their music i just love their videos they re creative as hell
238,-1.0,recycled that paper but you ain t never getting all them fucking ink cartridges back 
239,0.0, ce 
240,1.0,every music video is a piece of art
241,-1.0,if hot chip are a brilliant small independent cafe  then these are like starbucks  an over commercial poor alternative that you would only use if there was nowhere else to go  they could spend a bit more time on the actual music rather than gimmicky expensive videos 
242,0.0, lyrics  a look so quick  a movement so slight you could almost imagine it didn t just happen but everything will change  in just one look  one little glance it s not passing fascination now  it s obsession  uh huh  it s obsession it s obsession uh huh  it s obsession it s obsession  and it s physical it s like standing at the edge  your blood starts to pump   cause you re worried you might jump  and your head throbbing like a heart and your heart throbbing like a drum and the drums throbbing like the point is just go ahead and jump it s obsession  uh huh  it s obsession it s obsession uh huh  it s obsession it s obsession  there s only one way out  x    a look so quick  a movement so slight oh it s not passing fascination now  it s obsession  it s obsession uh huh  it s obsession it s obsession uh huh  it s obsession it s obsession
243,-1.0,the paper cuts   
244,-1.0,no trees were harmed in the filming of this video 
245,1.0,the ingenuity  creativity  and technical prowess that go into these videos never cease to amaze me    oh  and the song is quite good
246,1.0,why isn t this trending 
247,0.0,imagine how they rehearse this  
248,-1.0,rumour has it this video depleted the amazon forest by        this paper could have saved lives     tree huggers unite againt these paper facists    
249,1.0,    great song though
250,-1.0,and i can t even get one printer to do what i want
251,-1.0,song should have been called fuck you trees 
252,1.0, sick    
253,-1.0,i m trying to watch an ok go video but youtube won t let me skip this paper ad
254,1.0,this is awesome       
255,0.0,      first paper   ok  got it  second paper   wops  third paper   nah  fuck this one 
256,1.0,yall have the best videos  
257,-1.0,this looks like an ad for a printer
258,1.0,i think the video makes up for the song 
259,0.0,need toner 
260,1.0,this is my favorite ok go song thank god there s finally a video
261,1.0,wow  i want to hire the system engineer who built this setup   as far as i know  printing causes the most problems with computers  okay  my environment is little bit different  multiple printer models and manufacturers  different size papers with orientations  managed and unmanaged workstations  and multiple users   but still wow 
262,0.0,fake news    it was bluescreened  see the blue screen on singers jacket in the corner at     
263,1.0,love it       
264,-1.0,well  they are back to promoting products in their videos   i guess the last album where they went top    was an experiment  although this sounds like a depeche mode song to me for some reason  maybe it will chart as well  
265,1.0,rock  m 
266,1.0,i love the part where the singer signs  it s obsession      nice touch 
267,0.0,               d
268,0.0,ok go  we need to make a new music video   producer starts sweating profusely  h how many printers do you need 
269,0.0, 
270,-1.0,are you insane 
271,-1.0,all that paper wasted  i cant believe you would do such a thing to our environment  those poor trees wasted for some shitty video online    
272,-1.0,cool concept  crappy song 
273,0.0,this song feels very inspired by inxs
274,1.0,wow that was wicked 
275,1.0,in the vein of sledge hammer  hot chip but still lots of original ideas  amazing 
276,-1.0,what a waste
277,1.0,ok go are a special kind of magic  every video i ve seen of theirs has been amazing 
278,0.0,i wanna see behind those printers
279,-1.0,what gay ass music video
280,1.0,you guys never disappoint with the complexity of your videos
281,-1.0,if only their songs were as good as their music videos
282,1.0,cool song    would ve hated to be the it guy on set for that though    i can barely get   printer to print consistently much less    
283,-1.0,if youre going to do such a creative video  you re going to want it to be perfect  sadly this was not perfect and is disappointing  some of the printers were out of sync  how did the director or editor let this through production  where s the obsession 
284,-1.0,maybe one day they ll make a good song to go along with their videos lul
285,0.0,all paper was burnt using nuclear chemicals in the most susceptible parts of the planet  and the proceeds donated to logging companies 
286,-1.0,i like these guys videos  but they are fake 
287,0.0,anyone know what kind of printers those are 
288,1.0,i really appreciate that fingerspelling in there at       it was a pleasant little surprise for those of us that know asl 
289,-1.0,why is this on trending this is complete shit
290,0.0,yet again  another great video with a terrible terrible song behind it 
291,0.0,god that looks sick but it better have been recycled omg    
292,-1.0,awesome video best i ve ever seen in terms of creativity but too bad thier music sucks
293,1.0,breezy i love you   
294,0.0,can someone calculate how many pieces of paper this took
295,1.0,omg  this is the most amazing v deo  woow awesome     
296,1.0,ok that was amazing
297,0.0,hey check out my music video    xxx
298,1.0,what kind of wizard set up the printers 
299,0.0,phuket   the place is called phuket 
300,-1.0,nice sledge hammer rip off
301,1.0,i like pizza 
302,0.0,okgo music videos   peter gabriel music videos
303,0.0,me recuerda al v deo de a punk de vampire weekend
304,-1.0,all that paper wasted noooooo             
305,1.0,they always be having the best mvs and music   thank you
306,0.0,get this app it pays you to walk by counting your steps then converting them to a virtual currency  sign up through me to help me out  sweatco in hi adam      
307,1.0,saying you guys are creative is an understatement   jaw drops 
308,1.0,dwight schrute hit his sales targets that week 
309,0.0,  x           anyone know what    
310,1.0,     i love how he just gives up on that last piece of paper 
311,-1.0,am a fan of creativity and imagination but this is way too wasteful  as artists we do need to find ways to practice our art that leaves as little impact as possible  even with recycling  the ink cartridges  sheer volume of paper and harsh chemicals involved in these processes is way too much  https   www livestrong com article        the negative effects of recycling paper  sorry guys  i m out in terms of enjoyment of your creative voices 
312,1.0,ink redible 
313,1.0,amazing visual  so glad you recycled  d
314,-1.0,wtf is this smdh
315,0.0,their music isnt my type but i love the vid
316,0.0,bad music but cool videos so it s worth it
317,1.0,interesting
318,1.0,noone makes music videos like ok go  awesome 
319,0.0,wtf lol popo   
320,0.0,and i shall call this     printer animation 
321,0.0,videos great  musics lame and flat
322,-1.0,i gagged at the end  grim 
323,1.0,can i get this song on paper   
324,1.0,yesssssss  i loove them 
325,0.0,    
326,0.0,                           
327,0.0,how the hell do you coordinate that many printers at once   that just seems like a programming nightmare   
328,0.0,devo  this you 
329,-1.0,so much paper wasted
330,0.0,trees are a renewable resource  and the recycling process for paper is extremely polluting  recycle aluminium cans  throw away your paper 
331,0.0,they should have used dunder mifflin paper co 
332,-1.0,this song is pure garbage
333,1.0,is all of this real   omg
334,1.0, printing white sheets of paper  this won t be as cool as their other videos   a minute in   what 
335,0.0,same
336,0.0,what
337,1.0,whoever is coming up with the ideas for these videos is like the modern day hype williams  just genius   
338,1.0,amazing production  i find it hard to watch all the toxic ink and paper fall to the floor  but what an amazing video 
339,0.0,                 
340,1.0,well done guys  so much effort went to this video  
341,-1.0,kids in africa could have eaten this paper 
342,1.0,its trending     
343,0.0,they must have been born to show videos not to sing songs 
344,1.0,that is freakin insane  automatic nominee for video of the year no doubt
345,0.0,sounds like hp met ting tings shut up n let me go
346,1.0,i love you    
347,1.0,for gods sake stop being soo cool you nerds i love all ypur music videos 
348,-1.0,geeeeeez all that paper
349,-1.0,keep killing trees for your awsome video motherfuckers  this is so sad
350,0.0,the printers are inkjet  i bet they preprint all the sheets  arrange them inside the printers and during the shoot they  just  need to flush paper through the printers 
351,1.0,brilliant  every time 
352,-1.0,but greenpeace is a bunch of idiots who aren t really good at their jobs  are you sure you wouldn t have rather given it to somebody else
353,1.0,    cant wait to hear just the audio so i can understand them
354,0.0,this instantly come to mind  compare      and https   youtu be sag wfcwune t  m  s
355,0.0,voglio diventare famoso  prendo i video di peter gabriel e ci metto oltre allo step motion tanta tecnologia e arte  pseudo        peccato che la musica non sia niente di ch   a cavallo fra pop ed elettronica
356,0.0,www meendo shop nice apparel  unique design  check this out  meendo   code for     discount
357,1.0,how dare they be so creative and talented  that s just rude 
358,1.0,hola mama    
359,-1.0,creative but so boring and the song sucked
360,0.0,                       
361,0.0,have u played that game withe tiles  majong   
362,0.0,ever print cardz tho 
363,-1.0,they should spend more time writing better songs   fluff 
364,-1.0,man  what a waste of papers
365,1.0,the most elaborated use of a printer ever  and properly the best way   ok go s use of colors always amazes me   d
366,1.0,this would ve been a great audition for america got talent
367,1.0,omg
368,-1.0,they killed a lot of trees making this
369,-1.0,men tira     que foda
370,-1.0,i clicked on this because it was on my recommended it s good to know it s also a ad
371,-1.0,anyone feeling outraged by a music video needs to check themselves  your average supermarket uses this much paper and ink monthly 
372,0.0,                 ok go          
373,0.0,you forgot the most important piece of information  whats the name of this reliable and fast printer 
374,0.0,jx rhenj
375,-1.0,u guys suck at singing i wish i could take that time back
376,0.0,inxs  need you tonight 
377,0.0,                                           
378,1.0,this is amazing wtf
379,1.0,brilliant idea  song is super cool   great job   
380,0.0,now imagine a world where one didn t have to preface actions with disclaimers on perceived values and morality  it s almost like living under a theocracy  sucks we spend centuries oppressed and murdering each other  just to turn around and trade one for another  it s like loki was right  we where made to kneel  it s our natural state of being 
381,0.0,maybe this is just cgi 
382,0.0,this is similar to my mind art when i beat my meat 
383,1.0,wowowowowowowowowowowowowowoowowowowowowowo                                                                                                                                                             
384,1.0,i d go out on a limb and say they are this century s peter gabriel  very similar 
385,0.0,either these are god tier printers or  i really pity the it team working for this video 
386,1.0,this guys always come out with amazing videos  since i saw them for the first time back in like      when i fell in love with the treadmill video of here it goes again
387,1.0,absolutly amazing  
388,0.0,     people always ask for more cowbell  they went full cowbell 
389,1.0,just when i thought you guys couldn t come up with more insanely creative ideas  you somehow pull this
390,-1.0,dirty art     nothing green about this  i ve been thinking about this need for artists to express themselves in ever grander and more inventive ways     don t suppose they thought this pollution aspect through here so i am not pointing fingers     young kids at school need to be taught about our artistic expression in a free nation   and the potential for detrimental  deleterious impact of each artist   all to assuage our egotistical desire for our    minutes of attention   on the health of the earth and its environment   this clip is probably  beautiful  to you  arguably  but only briefly   as a disposable gimmick   a novelty   a small curiosity   like bubblegum maybe   a couple of minutes of your attention        but then consider the damage  the sheer waste      the electricity  the ink  the toxins and the paper   the trees    the money     the starving people close by    all because of an individual s artistic personal greed and vanity   vandalism of the earth  selfishness without our being aware of this    i am sure this was unwitting  but if not  then it is a sin  i sound like a killjoy   sorry  but if the artist could think more  maybe he could find a small piece of old paper and a take a pencil and make a drawing or poem that will be treasured far more without hurting the world   and uplifting spirits just as much  if not more   that s futurism   if there s going to be a future  i say this as someone guilty of this type of vandalism who learned the hard way what guilt feels like 
391,0.0,dunder mifflin is quaking
392,1.0,dunder mifflin has really stepped up their game 
393,1.0,love ok go
394,-1.0,i m studying for exams and realized too late that this is the wrong video to watch at  am 
395,0.0,lol  seen the first paper and i thought   just one piece of paper man   don t worry about it that much   then i was saw the rest of the video and it makes sense 
396,0.0,did they program all the printers  oh my freaking lord
397,1.0,some people didn t like the song  but personally i thought it was amazing  maybe even my new favorite song  it was so creative and so cool 
398,1.0, andercheetah    check this out
399,0.0,jesus christ epileptics watch out
400,0.0,nothing against the song and or band    but they could of done this with cgi  then nothing would been used  no paper to recycle  no ink wasted and truthfully it wouldn t of looked any better or worst for using cgi  i get the feeling this to be a wow kind of vid  but yea nope 
401,0.0,             
402,-1.0,much better video if you mute it 
403,-1.0,this is stupid  the past few videos that okgo have put out have been nothing but advertisement   the one moment  ad for morton salt   obsession  ad for printer paper   what next  ad for verizon disguised as a okgo video 
404,,i wonder exactly howmany epileptic people read descs and why they didnt put that warning on the papers mentioning recycling
405,-1.0,stop freaking out about the paper  even if they didn t recycle it it s still just the environment  people freak out over wasted paper but neglect just about every other part of the environment  just enjoy the creativity here 
406,-1.0,it s not about music  has it ever been    
407,-1.0,so fuking annoying and so much wasted resources  no matter how you state that they were recycled
408,0.0,anyone else digging the secretly advertisement music video theme from them      but i do like the song   
409,1.0,pushing youtube to the limit    way to make progress happen guys    
410,1.0,always love your idea
411,1.0,wow the work involved crazy
412,1.0,amazing             line     pl                                                     
413,0.0,how 
414,0.0,you guys can t make a good song so you make amazing videos  can t hate
415,0.0,as a graphic design college student who has to fight for a printer that are connected to a computer or has ink in my labs this video is making me extremely jealous with these printers working seamlessly
416,0.0,they re likely not printing the papers on set  they re pre printed and they put the papers in order for the printer to merely push it out 
417,0.0,i was like let s see these fags  dame       for all that work with the printers and how long did it take 
418,1.0,holy
419,0.0,they always have the best music videos but for some reason their songs are a bit boring for me
420,0.0,it s a shame i don t like the song  because the video is really good    the song s not necessarily bad  it s just not to my taste  
421,-1.0,que poco escolosgicos 
422,0.0,i wonder how long did they make   video     
423,0.0,i don t understand why they don t release some new music for video fuel    this song came out in what  early      
424,1.0,top tier conceptualization and editing
425,-1.0,pathetic
426,-1.0,i saw the first   seconds with all he printer and immediately knew sponsored video
427,0.0,awesome video  i ll stick to dunder mifflin paper though
428,1.0,greg buckingham you are hilarious
429,0.0,wow    worthy of a mtv vmas award if only they were worth something nowadays 
430,0.0,error  the number of paper used in this video exceeds the human race 
431,1.0,never fail to impress
432,0.0,try not to get satisfied video right here  i mean the paper not the music  the music sucks xd
433,0.0,bro i m watching this right now and i might get a seizure      jnmmio fgearjmfgkio arenmjgvfo ujrewfnhbgou qamwckowemc pou   iwcnjueeedafshljkjkjkjkjkjkjkjkjkjkjkjkjkjkjkjkjkjkncewc uorweiqtg fhuwejf hbweio lcnmwo bewuorfgbu woefcbojsadfnc ljksdmclk zxmcvxz
434,0.0,everything was most certainly pre printed in order for each printer by a color laser printer  the feed mechanism was probably controlled manually with an external controller for each printer  the cost and waste of this was probably less than a lot of other comparable media productions 
435,1.0,dope     this band never disappoint when it cames to music video  
436,-1.0,greenpeace is kind of extreme  maybe giving them money wasn t such a good idea 
437,-1.0,what a waste of paper
438,0.0,e la madonaa che roba bella
439,-1.0,this is a tree s worst nightmare 
440,1.0,you know  i can t even say they won t top so and so video they did  cause each one they make is technically amazing in it s own way  shot in microgravity   whole video a slow mo of   seconds  but i m still blown away by printers 
441,0.0,https   javhose blogspot com
442,-1.0,its not the paper i m concerned about its the printers and print cartridges      fucking waste
443,0.0,everyone involved in the making of this video must have gotten at least    paper cuts
444,1.0,finally a new video   
445,0.0,yeah  fuck trees 
446,0.0,joe dunn i m sorry but are you kidding because i hope you are  we need trees to breath  if we didn t have them there would be no oxygen and we d die
447,0.0,fine i ll buy the printer
448,0.0,the scenes with complicated pictures were made on a computer  the easier ones are real
449,-1.0,tbh   mute 
450,0.0,when cgi is too mainstream 
451,0.0,i love how  every video  okgo is just like  how can we put an absurd amount of work into something  and spend days filming  months preparing  just for one short  song length music video just to impress people  
452,1.0,micah philson because their true artist
453,-1.0,fake  fake  fake 
454,-1.0,creative  but blatant product placement   it feels like a giant commercial for double a s smooth paper  more than a music video to highlight the song 
455,-1.0, blatant product placement  i mean this isn t new
456,0.0,this is epic  but was it necessary   in a world that s already feeling the effects of global warming  using obscene amounts of paper and ink is really irresponsible   regardless of whether or not the paper is  recycled  
457,1.0,thia is messing with my brain     
